State,Electric (EV),Plug-In Hybrid Electric (PHEV),Hybrid Electric (HEV),Biodiesel,Ethanol/Flex (E85),Compressed Natural Gas (CNG),Propane,Hydrogen,Methanol,Gasoline,Diesel,Unknown Fuel,EV%,Difference
Alabama,13000,5800,63300,54200,441200,100,100,0,0,4102200,127000,29000,0.002688228,-0.009685731
Alaska,2700,900,10600,9600,46800,0,0,0,0,454300,29800,5100,0.004823151,-0.007585731
Arizona,89800,25600,175700,68600,437100,600,700,0,0,5469000,197700,64200,0.013754021,0.001414269
Arkansas,7100,3200,37000,37000,276700,200,0,0,0,2246100,90700,10300,0.002621571,-0.009785731
California,1256600,410700,1703200,201600,1314600,10100,1500,16900,0,31191900,735300,7900,0.034100129,0.021714269
Colorado,90100,37500,152700,68100,334300,300,100,0,0,4508800,203400,46500,0.016557022,0.004214269
Connecticut,31600,18400,75300,10900,133600,100,0,0,0,2612600,42300,20900,0.010727501,-0.001685731
Delaware,8400,3800,22900,5100,63900,0,0,0,0,791300,14200,5100,0.009183339,-0.003185731
District of Columbia,8100,3700,18100,400,16800,100,0,0,0,262500,1800,600,0.02595322,0.013614269
Florida,254900,57300,414500,170500,1101100,400,100,0,0,16136500,351800,96100,0.01371669,0.001314269
Georgia,92400,22700,175300,92500,719400,300,200,0,0,8256400,206300,76900,0.009582677,-0.002785731
Hawaii,25600,7300,36400,3400,37300,0,0,0,0,951000,15400,3700,0.023701509,0.011314269
Idaho,8500,4600,43700,45900,132900,100,100,0,0,1568600,138600,31600,0.004304669,-0.008085731
Illinois,99600,33400,285400,61500,772900,300,0,0,0,8560300,170200,59600,0.009917158,-0.002485731
Indiana,26100,12900,119100,56300,576300,300,0,0,0,5166200,156400,58500,0.004228707,-0.008185731
Iowa,9000,6100,57200,41700,331300,100,0,0,0,2545400,105000,57500,0.002854153,-0.009485731
Kansas,11300,5600,50400,27900,253500,200,100,0,0,2168600,87400,16100,0.004311167,-0.008085731
Kentucky,11600,5600,67100,36900,361200,300,0,0,0,3415000,117600,24400,0.0028715,-0.009485731
Louisiana,8200,4000,40200,64200,380100,100,0,0,0,3142800,115500,19100,0.002172646,-0.010185731
Maine,7400,7600,33600,12000,104500,0,0,0,0,1036100,26900,7900,0.005987055,-0.006385731
Maryland,72100,31300,168700,32100,309300,300,0,0,0,4327800,86900,31500,0.014249012,0.001814269
Massachusetts,73800,43800,187300,21300,285000,200,0,0,0,4791300,58400,30000,0.01343993,0.001014269
Michigan,50300,29100,148100,70400,873700,300,0,0,0,7129600,174500,49400,0.005900016,-0.006485731
Minnesota,37100,16100,124500,52700,516400,100,0,0,0,4219200,127900,24500,0.007248217,-0.005185731
Mississippi,3600,2000,28200,34900,295200,100,0,0,0,2275600,75200,8500,0.001321926,-0.011085731
Missouri,26900,13900,113900,70400,575500,900,100,0,0,4608600,178200,37600,0.004781372,-0.007585731
Montana,4600,2500,21100,37900,94500,0,0,0,0,780700,69600,10800,0.0045023,-0.007885731
Nebraska,6900,3800,32600,28900,197100,100,0,0,0,1600400,76100,25300,0.003500406,-0.008885731
Nevada,47400,10600,69600,27200,125600,200,100,0,0,2169300,85800,20300,0.018543875,0.006114269
New Hampshire,9900,6600,36800,13900,89600,100,0,0,0,1185300,29200,12300,0.00715473,-0.005185731
New Jersey,134800,40900,174200,27800,392100,300,0,0,0,6433000,84600,36400,0.018404992,0.006014269
New Mexico,10300,4900,44300,32100,151600,100,100,0,0,1597600,88500,22900,0.005275558,-0.007085731
New York,131300,92300,314000,54300,591100,400,100,0,0,9905500,150500,79100,0.011600375,-0.000785731
North Carolina,70200,23700,210600,80200,655000,300,100,0,0,7764000,209700,71700,0.007726597,-0.004685731
North Dakota,1000,800,8200,20400,89900,0,0,0,0,625300,44600,7200,0.001254076,-0.011085731
Ohio,50400,24000,199800,70300,833500,700,100,0,0,8881400,196200,60900,0.004884999,-0.007485731
Oklahoma,22800,33000,56400,63100,352400,1800,200,0,0,3567500,145700,45000,0.005317288,-0.007085731
Oregon,64400,28800,156900,55500,184600,100,100,0,0,3074300,217000,51000,0.016802776,0.004414269
Pennsylvania,70200,38900,245400,73900,661700,500,100,0,0,8886400,192100,41800,0.006874939,-0.005485731
Rhode Island,6400,5100,22100,3100,41900,0,0,0,0,782000,11000,6000,0.007292616,-0.005085731
South Carolina,20900,9000,83100,44600,404600,100,100,0,0,4325000,110100,44900,0.004144852,-0.008285731
South Dakota,1700,1300,11900,21500,98800,0,0,0,0,718300,51200,13300,0.001851852,-0.010485731
Tennessee,33200,11000,113300,53100,509000,200,100,0,0,5620500,160700,37700,0.005077384,-0.007285731
Texas,230100,55300,445100,460700,2315400,1300,1300,0,0,21392800,772800,121800,0.00891978,-0.003485731
Utah,40000,13000,83200,68500,185200,2200,500,0,0,2499600,158000,26000,0.013003056,0.000614269
Vermont,7800,5700,20300,7000,36600,0,0,0,0,496000,14700,5000,0.013151239,0.000814269
Virginia,84900,26800,229400,44300,484800,300,0,0,0,6670000,152800,30200,0.010992426,-0.001385731
Washington,152100,41200,307200,73800,337700,100,100,0,0,5583000,274200,46700,0.022314813,0.009914269
West Virginia,2800,1800,22400,17300,123400,100,0,0,0,1281500,46400,15200,0.0018532,-0.010485731
Wisconsin,24900,12500,123600,52900,536200,300,0,0,0,4604700,147500,26400,0.004503527,-0.007885731
Wyoming,1100,800,8400,21200,57700,0,0,0,0,489100,60900,13700,0.001684791,-0.010685731
